Case,Perturbation,Formulation,Merge,A_parameter,rank_unique_count,rank_swaps
case2746wop,"(0.02, 20)",Chordal_AMD,False,0.0,3,True
case2746wop,"(0.02, 20)",Chordal_AMD,True,2.0,3,True
case2746wop,"(0.02, 20)",Chordal_AMD,True,3.0,7,True
case2746wop,"(0.02, 20)",Chordal_AMD,True,4.0,6,True
case2746wop,"(0.02, 20)",Chordal_AMD,True,5.0,5,True
case2746wop,"(0.02, 20)",Chordal_MD,False,0.0,7,True
case2746wop,"(0.02, 20)",Chordal_MD,True,2.0,4,True
case2746wop,"(0.02, 20)",Chordal_MD,True,3.0,6,True
case2746wop,"(0.02, 20)",Chordal_MD,True,4.0,5,True
case2746wop,"(0.02, 20)",Chordal_MD,True,5.0,3,True
case2746wop,"(0.02, 20)",Chordal_MFI,False,0.0,4,True
case2746wop,"(0.02, 20)",Chordal_MFI,True,2.0,2,True
case2746wop,"(0.02, 20)",Chordal_MFI,True,3.0,5,True
case2746wop,"(0.02, 20)",Chordal_MFI,True,4.0,4,True
case2746wop,"(0.02, 20)",Chordal_MFI,True,5.0,5,True
case2746wop,"(0.04, 869)",Chordal_AMD,False,0.0,4,True
case2746wop,"(0.04, 869)",Chordal_AMD,True,2.0,3,True
case2746wop,"(0.04, 869)",Chordal_AMD,True,3.0,6,True
case2746wop,"(0.04, 869)",Chordal_AMD,True,4.0,5,True
case2746wop,"(0.04, 869)",Chordal_AMD,True,5.0,5,True
case2746wop,"(0.04, 869)",Chordal_MD,False,0.0,1,False
case2746wop,"(0.04, 869)",Chordal_MD,True,2.0,2,True
case2746wop,"(0.04, 869)",Chordal_MD,True,3.0,4,True
case2746wop,"(0.04, 869)",Chordal_MD,True,4.0,5,True
case2746wop,"(0.04, 869)",Chordal_MD,True,5.0,6,True
case2746wop,"(0.04, 869)",Chordal_MFI,False,0.0,4,True
case2746wop,"(0.04, 869)",Chordal_MFI,True,2.0,2,True
case2746wop,"(0.04, 869)",Chordal_MFI,True,3.0,5,True
case2746wop,"(0.04, 869)",Chordal_MFI,True,4.0,5,True
case2746wop,"(0.04, 869)",Chordal_MFI,True,5.0,4,True
case2746wop,"(0.06, 1045)",Chordal_AMD,False,0.0,4,True
case2746wop,"(0.06, 1045)",Chordal_AMD,True,2.0,3,True
case2746wop,"(0.06, 1045)",Chordal_AMD,True,3.0,5,True
case2746wop,"(0.06, 1045)",Chordal_AMD,True,4.0,6,True
case2746wop,"(0.06, 1045)",Chordal_AMD,True,5.0,5,True
case2746wop,"(0.06, 1045)",Chordal_MD,False,0.0,2,True
case2746wop,"(0.06, 1045)",Chordal_MD,True,2.0,2,True
case2746wop,"(0.06, 1045)",Chordal_MD,True,3.0,8,True
case2746wop,"(0.06, 1045)",Chordal_MD,True,4.0,6,True
case2746wop,"(0.06, 1045)",Chordal_MD,True,5.0,6,True
case2746wop,"(0.06, 1045)",Chordal_MFI,False,0.0,2,True
case2746wop,"(0.06, 1045)",Chordal_MFI,True,2.0,2,True
case2746wop,"(0.06, 1045)",Chordal_MFI,True,3.0,7,True
case2746wop,"(0.06, 1045)",Chordal_MFI,True,4.0,7,True
case2746wop,"(0.06, 1045)",Chordal_MFI,True,5.0,6,True
