Case,Perturbation,rep,Formulation,Merge,A_parameter,SolveTime,strategy
case2746wop,"(0.02, 20)",1,Chordal_AMD,True,3.0,37.74666491302196,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",2,Chordal_MD,True,3.0,37.60665139998309,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",3,Chordal_MD,True,3.0,33.8703831009916,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",4,Chordal_MD,True,3.0,40.40330402698601,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",5,Chordal_MD,True,3.0,40.60303110798122,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",6,Chordal_MD,True,3.0,39.70691546302987,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",7,Chordal_MD,True,3.0,39.03462967596715,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",8,Chordal_MD,True,3.0,40.21416188095464,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",9,Chordal_MD,True,3.0,40.494225417030975,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",10,Chordal_MD,True,3.0,39.78391294099856,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",11,Chordal_MFI,True,3.0,45.74973562394735,Chordal_MFI; Merge=True; A=3.0
case2746wop,"(0.02, 20)",12,Chordal_MD,True,3.0,41.47167542303214,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",13,Chordal_MD,True,3.0,40.26703392498894,Chordal_MD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",14,Chordal_AMD,True,3.0,47.64504733495414,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",15,Chordal_AMD,True,3.0,47.20850332395639,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",16,Chordal_AMD,True,3.0,46.5411754649831,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",17,Chordal_AMD,True,3.0,46.26073235808872,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",18,Chordal_AMD,True,3.0,48.23405811295379,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",19,Chordal_AMD,True,3.0,47.62714233109728,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.02, 20)",20,Chordal_AMD,True,3.0,46.77119710296392,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.04, 869)",1,Chordal_AMD,True,5.0,51.511298350058496,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",2,Chordal_AMD,True,5.0,50.418755074962974,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",3,Chordal_AMD,True,5.0,51.86580905399751,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",4,Chordal_AMD,True,4.0,50.386119711911306,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",5,Chordal_AMD,True,5.0,43.91468576004263,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",6,Chordal_AMD,True,5.0,53.33161222701892,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",7,Chordal_AMD,True,5.0,55.4354784139432,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",8,Chordal_AMD,True,5.0,49.56769723398611,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",9,Chordal_AMD,True,5.0,49.225886442000046,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",10,Chordal_AMD,True,5.0,55.49663883494213,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",11,Chordal_AMD,True,4.0,53.1616520419484,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",12,Chordal_AMD,True,4.0,54.60262093297206,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",13,Chordal_AMD,True,5.0,40.14559928805102,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",14,Chordal_AMD,True,4.0,53.08358577196486,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",15,Chordal_AMD,True,5.0,48.26338777306955,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",16,Chordal_AMD,True,5.0,45.00921122403816,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.04, 869)",17,Chordal_AMD,True,4.0,53.35043242701795,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",18,Chordal_AMD,True,4.0,54.368564737960696,Chordal_AMD; Merge=True; A=4.0
case2746wop,"(0.04, 869)",19,Chordal_MFI,True,4.0,48.65105535008479,Chordal_MFI; Merge=True; A=4.0
case2746wop,"(0.04, 869)",20,Chordal_MD,True,5.0,52.390982260985766,Chordal_MD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",1,Chordal_AMD,True,3.0,50.955697632045485,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",2,Chordal_AMD,True,3.0,50.75677644798998,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",3,Chordal_AMD,True,5.0,45.07772899093106,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",4,Chordal_AMD,True,5.0,45.797789853066206,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",5,Chordal_AMD,True,5.0,49.66845304600429,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",6,Chordal_AMD,True,3.0,50.134858941077255,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",7,Chordal_AMD,True,5.0,43.62665367801674,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",8,Chordal_AMD,True,5.0,49.3501712459838,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",9,Chordal_AMD,True,5.0,47.05856767005753,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",10,Chordal_AMD,True,5.0,46.34342959697824,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",11,Chordal_AMD,True,5.0,49.43063432700001,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",12,Chordal_MFI,True,3.0,43.86598189995857,Chordal_MFI; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",13,Chordal_AMD,True,3.0,50.31747572496533,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",14,Chordal_AMD,True,5.0,45.84367075294722,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",15,Chordal_AMD,True,3.0,49.83320191409439,Chordal_AMD; Merge=True; A=3.0
case2746wop,"(0.06, 1045)",16,Chordal_AMD,True,5.0,39.12458094698377,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",17,Chordal_AMD,True,5.0,49.366968684014864,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",18,Chordal_AMD,True,5.0,46.07037612993736,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",19,Chordal_AMD,True,5.0,48.47788679006044,Chordal_AMD; Merge=True; A=5.0
case2746wop,"(0.06, 1045)",20,Chordal_AMD,True,3.0,49.67709356790874,Chordal_AMD; Merge=True; A=3.0
